Size (mm);no.species;Dominant specie (%)
150;2;90
80;1;100
90;2;90
110;1;100
130;2;90
90;1;100
90;1;100
105;1;100
100;1;100
110;1;100
480;6;50
410;7;40
420;5;30
450;6;30
450;7;40
430;6;40
450;7;30
500;5;40
520;7;40
540;7;45
900;8;30
970;7;30
900;9;35
920;8;30
970;9;30
900;8;15
980;10;20
1010;9;20
1010;9;20
1200;8;20
1360;7;50
1420;6;30
1310;8;40
1010;7;30
1200;6;30
1250;7;20
1300;6;30
1420;7;30
1600;3;60
1670;2;70
1720;1;100
1800;2;95
1850;2;90
1600;2;40
1760;4;60
1740;4;70
