estuary,species,year,adult_dens,sap_dens,seed_dens,flw,prp,gall,bld,cnk
BW,AM,2024,0,0,0,0,0,0,0,0
BW,AM,2024,0,0,0,0,0,0,0,0
BW,AM,2024,0,0,0,0,0,0,0,0
BW,AM,2024,400,0,0,0,0,100,0,100
BW,AM,2024,800,0,0,0,0,50,0,50
BW,AM,2024,2400,0,0,0,0,33.33333333,33.33333333,66.66666667
BW,AM,2024,0,0,0,0,0,0,0,0
BW,AM,2024,0,0,0,0,0,0,0,0
BW,AM,2024,0,0,0,0,0,0,0,0
BW,AM,2024,400,0,0,0,0,100,0,100
BW,AM,2024,0,0,0,0,0,0,0,0
BW,AM,2024,0,0,0,0,0,0,0,0
BW,AM,2024,0,800,4800,0,0,0,0,0
BW,AM,2024,3200,0,0,0,12.5,87.5,37.5,100
BW,AM,2024,2000,0,0,0,0,100,60,100
BW,AM,2024,2800,0,4800,0,0,100,28.57142857,100
BW,AM,2024,2400,0,400,0,0,100,0,100
BW,AM,2024,2400,400,800,0,0,100,0,66.66666667
BW,AM,2024,400,0,0,0,0,100,0,100
BW,AM,2024,2400,0,8800,0,0,100,100,83.33333333
BW,AM,2024,2400,400,176000,0,0,0,0,0
BW,BG,2024,5200,0,0,7.692307692,53.84615385,0,15.38461538,7.692307692
BW,BG,2024,5200,0,0,0,0,0,0,0
BW,BG,2024,6800,0,0,0,0,0,0,0
BW,BG,2024,2000,400,14000,0,60,0,0,0
BW,BG,2024,5200,0,6000,7.692307692,53.84615385,0,7.692307692,7.692307692
BW,BG,2024,5200,0,13200,15.38461538,0,0,0,7.692307692
BW,BG,2024,6400,0,0,0,0,0,0,0
BW,BG,2024,6800,0,0,5.882352941,35.29411765,0,0,0
BW,BG,2024,1600,0,24400,50,75,0,0,0
BW,BG,2024,4000,0,0,0,20,0,0,0
BW,BG,2024,1200,400,0,0,33.33333333,0,0,0
BW,BG,2024,400,0,0,0,100,0,0,0
BW,BG,2024,6400,12400,8000,0,68.75,0,0,0
BW,BG,2024,5600,0,0,0,14.28571429,0,0,0
BW,BG,2024,4000,0,0,0,20,0,0,0
BW,BG,2024,0,800,10400,0,0,0,0,0
BW,BG,2024,0,0,0,0,0,0,0,0
BW,BG,2024,800,400,24800,0,0,0,0,0
BW,BG,2024,3600,0,0,0,88.88888889,0,0,88.88888889
BW,BG,2024,0,0,6400,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,3200,0,2800,0,62.5,0,0,0
BW,RM,2024,1600,400,2400,0,125,0,0,0
BW,RM,2024,2000,0,3200,20,160,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,1200,0,0,0,33.33333333,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
BW,RM,2024,0,0,0,0,0,0,0,0
DB,AM,2024,2400,0,400,0,0,83.33333333,0,66.66666667
DB,AM,2024,0,400,262400,0,0,0,0,0
DB,AM,2024,0,0,288400,0,0,0,0,0
DB,AM,2024,0,0,247200,0,0,0,0,0
DB,AM,2024,0,0,228800,0,0,0,0,0
DB,AM,2024,800,0,141600,0,0,100,0,100
DB,AM,2024,0,0,37200,0,0,0,0,0
DB,AM,2024,0,0,0,0,0,0,0,0
DB,AM,2024,0,0,0,0,0,0,0,0
DB,AM,2024,0,0,3200,0,0,0,0,0
DB,AM,2024,400,0,64000,0,100,100,0,100
DB,AM,2024,400,0,14800,0,0,100,0,100
DB,AM,2024,0,0,76400,0,0,0,0,0
DB,AM,2024,1200,0,54800,0,0,66.66666667,0,0
DB,AM,2024,1200,1200,66000,0,0,100,0,0
DB,AM,2024,0,0,400,0,0,0,0,0
DB,AM,2024,0,0,54400,0,0,0,0,0
DB,AM,2024,1600,0,18000,25,0,100,0,25
DB,AM,2024,0,0,8800,0,0,0,0,0
DB,AM,2024,0,0,73600,0,0,0,0,0
DB,BG,2024,0,0,0,0,0,0,0,0
DB,BG,2024,400,800,1600,0,0,0,0,0
DB,BG,2024,0,400,400,0,0,0,0,0
DB,BG,2024,400,400,4400,0,0,0,0,0
DB,BG,2024,800,0,2000,0,0,0,0,0
DB,BG,2024,0,0,0,0,0,0,0,0
DB,BG,2024,1600,800,1200,0,0,0,0,0
DB,BG,2024,0,400,0,0,0,0,0,0
DB,BG,2024,2800,1200,0,14.28571429,57.14285714,14.28571429,0,0
DB,BG,2024,2000,0,400,0,0,0,0,20
DB,BG,2024,800,1200,1600,0,0,0,0,0
DB,BG,2024,0,0,0,0,0,0,0,0
DB,BG,2024,0,400,0,0,0,0,0,0
DB,BG,2024,400,0,0,0,0,0,0,100
DB,BG,2024,0,0,400,0,0,0,0,0
DB,BG,2024,2000,1600,800,0,20,0,0,20
DB,BG,2024,0,0,4000,0,0,0,0,0
DB,BG,2024,0,0,0,0,0,0,0,0
DB,BG,2024,0,0,1200,0,0,0,0,0
DB,BG,2024,0,0,800,0,0,0,0,0
DB,RM,2024,0,0,0,0,0,0,0,0
DB,RM,2024,0,400,400,0,0,0,0,0
DB,RM,2024,0,0,0,0,0,0,0,0
DB,RM,2024,400,400,800,0,0,0,0,0
DB,RM,2024,0,0,0,0,0,0,0,0
DB,RM,2024,0,0,0,0,0,0,0,0
DB,RM,2024,0,0,0,0,0,0,0,0
DB,RM,2024,3200,400,0,0,0,0,0,62.5
DB,RM,2024,400,0,400,100,0,0,0,0
DB,RM,2024,400,0,0,0,0,0,0,0
DB,RM,2024,0,0,0,0,0,0,0,0
DB,RM,2024,400,400,0,0,0,0,0,0
DB,RM,2024,6400,1200,4000,18.75,6.25,0,12.5,0
DB,RM,2024,1600,400,400,0,0,0,0,50
DB,RM,2024,0,0,0,0,0,0,0,0
DB,RM,2024,1200,0,0,0,0,0,0,66.66666667
DB,RM,2024,0,0,5200,0,0,0,0,0
DB,RM,2024,2000,800,400,0,0,0,20,0
DB,RM,2024,3200,7200,22000,0,0,0,0,37.5
DB,RM,2024,1200,1200,400,0,0,0,0,0
ISI,AM,2024,1600,0,0,0,0,50,0,0
ISI,AM,2024,0,0,0,0,0,0,0,0
ISI,AM,2024,800,0,0,0,0,100,0,0
ISI,AM,2024,0,0,0,0,0,0,0,0
ISI,AM,2024,0,0,0,0,0,0,0,0
ISI,AM,2024,3200,0,0,0,37.5,100,0,0
ISI,AM,2024,800,0,0,0,0,100,0,50
ISI,AM,2024,800,400,0,0,0,100,0,0
ISI,AM,2024,2000,400,0,0,40,100,0,60
ISI,AM,2024,3600,400,0,0,22.22222222,100,33.33333333,44.44444444
ISI,AM,2024,2000,0,288800,0,100,100,0,20
ISI,AM,2024,800,0,1200,0,100,100,100,0
ISI,AM,2024,0,0,0,0,0,0,0,0
ISI,AM,2024,0,0,3600,0,0,0,0,0
ISI,AM,2024,800,0,0,0,0,100,0,0
ISI,AM,2024,0,0,40000,0,0,0,0,0
ISI,AM,2024,400,24800,192400,0,0,100,0,0
ISI,AM,2024,2000,0,0,0,80,100,40,80
ISI,AM,2024,1200,0,0,0,100,100,0,66.66666667
ISI,AM,2024,400,400,8800,0,100,100,0,100
ISI,BG,2024,1600,0,2400,50,100,0,0,0
ISI,BG,2024,4800,0,0,0,50,0,0,0
ISI,BG,2024,400,0,7200,0,100,0,0,0
ISI,BG,2024,1600,0,23600,0,100,0,0,0
ISI,BG,2024,8000,0,800,5,35,0,0,0
ISI,BG,2024,5200,0,3600,0,84.61538462,0,0,0
ISI,BG,2024,2400,0,0,83.33333333,83.33333333,0,0,16.66666667
ISI,BG,2024,6000,0,1600,0,100,0,0,0
ISI,BG,2024,2400,0,0,100,100,0,0,16.66666667
ISI,BG,2024,2000,0,0,20,80,20,0,0
ISI,BG,2024,0,0,0,0,0,0,0,0
ISI,BG,2024,400,0,3600,100,100,0,0,0
ISI,BG,2024,0,0,8000,0,0,0,0,0
ISI,BG,2024,0,0,38800,0,0,0,0,0
ISI,BG,2024,2000,0,1600,40,80,0,0,0
ISI,BG,2024,400,0,10000,100,100,0,0,0
ISI,BG,2024,0,0,0,0,0,0,0,0
ISI,BG,2024,400,0,0,100,100,0,0,0
ISI,BG,2024,0,0,0,0,0,0,0,0
ISI,BG,2024,0,0,0,0,0,0,0,0
ISI,RM,2024,400,0,0,100,0,0,0,0
ISI,RM,2024,0,0,0,0,0,0,0,0
ISI,RM,2024,400,0,5600,0,100,0,0,0
ISI,RM,2024,0,0,0,0,0,0,0,0
ISI,RM,2024,0,0,0,0,0,0,0,0
